id,name,rating,review,price_level,category,services,address,open_hours,phone,latitude,longitude,url,cluster,source_category,source_file,_lat_r,_lon_r,rejection_reason
4856,Villa Panbil,4.4,292,0,Housing complex,,"Jl. Ahmad Yani, Muka Kuning, Kec. Sei Beduk, Kota Batam, Kepulauan Riau 29433, Indonesia",[object Object],+62 778 371333,1.0908078,104.0260507,"https://www.google.com/maps/place/Villa+Panbil/@1.0908078,104.0260507,17z/data=!3m1!4b1!4m6!3m5!1s0x31d98ebfe8a19dab:0x13fc826e550b7e60!8m2!3d1.0908078!4d104.0260507!16s%2Fg%2F11byl0h0n3?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MDgyOC4wIKXMDSoASAFQAw%3D%3D",0,Hospitality,Indonesia.Batam.Hotel.202408042041.db,1.09081,104.02605,duplicate_cross_file
4859,Villa Panbil Forest House Blok DD no 26,5.0,4,0,Housing complex,,"Jl. Ahmad Yani, Muka Kuning, Kec. Sei Beduk, Kota Batam, Kepulauan Riau 29433, Indonesia",[object Object],,1.0818292,104.0263046,https://www.google.com/maps/place/Villa+Panbil+Forest+House+Blok+DD+no+26/data=!4m7!3m6!1s0x31d98fe088a35c69:0x4e481ab6ba80f89d!8m2!3d1.0818292!4d104.0263046!16s%2Fg%2F11spxf3gp9!19sChIJaVyjiOCP2TERnfiAurYaSE4?authuser=0&hl=en&rclk=1,0,Hospitality,Indonesia.Batam.Hotel.202408042041.db,1.08183,104.0263,duplicate_cross_file
5324,Bukit indah sukajadi,4.4,18,0,Housing society,,"Jl. Cemara Tiang No.52, Sukajadi, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29444, Indonesia",[object Object],,1.1127053,104.0206955,https://www.google.com/maps/place/Bukit+indah+sukajadi/data=!4m7!3m6!1s0x31d989c915d33c4f:0xf49cc12cfccc84c5!8m2!3d1.1127053!4d104.0206955!16s%2Fg%2F11r70vdj09!19sChIJTzzTFcmJ2TERxYTM_CzBnPQ?authuser=0&hl=en&rclk=1,0,Hospitality,Indonesia.Batam.Hotel.202408042041.db,1.11271,104.0207,duplicate_cross_file
5760,Perumahan Permata Laguna Batam,4.3,43,0,Apartment complex,,"Jl. Permata Laguna No.2 Blok Aa, Tj. Uncang, Kec. Batu Aji, Kota Batam, Kepulauan Riau 29425, Indonesia",[object Object],,1.0570325,103.941115,https://www.google.com/maps/place/Perumahan+Permata+Laguna+Batam/data=!4m7!3m6!1s0x31d98d46241aa269:0xabd9af702787f47f!8m2!3d1.0570325!4d103.941115!16s%2Fg%2F11jnlhwt5x!19sChIJaaIaJEaN2TERf_SHJ3Cv2as?authuser=0&hl=en&rclk=1,0,Hospitality,Indonesia.Batam.Hotel.202408042041.db,1.05703,103.94112,duplicate_cross_file
5761,Perumahan permata laguna,4.0,1,0,Housing development,,"Blk. B5 No.16, Tj. Uncang, Kec. Batu Aji, Kota Batam, Kepulauan Riau 29425, Indonesia",[object Object],,1.0562859,103.9420479,"https://www.google.com/maps/place/Perumahan+permata+laguna/@1.0562859,103.9420479,17z/data=!3m1!4b1!4m6!3m5!1s0x31d98d4581de4929:0x90926ab917a8b1cf!8m2!3d1.0562859!4d103.9420479!16s%2Fg%2F11k9s58h9t?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MDgyOC4wIKXMDSoASAFQAw%3D%3D",0,Hospitality,Indonesia.Batam.Hotel.202408042041.db,1.05629,103.94205,duplicate_cross_file
5859,Eska Wellness Kepri Mall,4.9,311,0,Wellness center,,"Ruko Kepri Mall 27-34, Sukajadi, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29432, Indonesia",[object Object],+62 811-7046-876,1.1022157,104.0362401,"https://www.google.com/maps/place/Eska+Wellness+Kepri+Mall/@1.1022157,104.0362401,17z/data=!3m1!4b1!4m6!3m5!1s0x31d98ecb5598cf47:0x6df2f85416c1dfbe!8m2!3d1.1022157!4d104.0362401!16s%2Fg%2F11f4wbjwcc?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MDgyOC4wIKXMDSoASAFQAw%3D%3D",0,Hospitality,Indonesia.Batam.Hotel.202408042041.db,1.10222,104.03624,duplicate_cross_file
5869,Greenland Hotel,4.2,375,0,,,"Komplek, Jl. Ruko Greenland No.10 - 16 Blok J, Teluk Tering, Batam Kota, Batam City, Riau Islands 29432, Indonesia",[object Object],+62 778 468991,1.1246442,104.0486972,https://www.google.com/maps/place/Greenland+Hotel/data=!4m10!3m9!1s0x31d9891eb7a30ee5:0x2cf8d2c5ac4991e1!5m2!4m1!1i2!8m2!3d1.1246442!4d104.0486972!16s%2Fg%2F11hbr81jgq!19sChIJ5Q6jtx6J2TER4ZFJrMXS-Cw?authuser=0&hl=en&rclk=1,0,Hospitality,Indonesia.Batam.Hotel.202408042041.db,1.12464,104.0487,duplicate_cross_file
5929,Mega Mall Batam Centre,4.5,20580,0,Shopping mall,,"Jl. Engku Putri No.1, Belian, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29461, Indonesia",[object Object],+62 778 470100,1.1293427,104.0558822,https://www.google.com/maps/place/Mega+Mall+Batam+Centre/data=!4m7!3m6!1s0x31d9890f4063bf6b:0x6ddfa519f79fed7c!8m2!3d1.1293427!4d104.0558822!16s%2Fg%2F112yfdnqw!19sChIJa79jQA-J2TERfO2f9xml320?authuser=0&hl=en&rclk=1,0,Hospitality,Indonesia.Batam.Hotel.202408042041.db,1.12934,104.05588,duplicate_cross_file
9,Baloi Centre blok D 110  jl  Nusa indah,1.0,1,0,Beauty salon,[],"42J3+V56, Jl. Nusa Indah, Baloi Indah, Kec. Lubuk Baja, Kota Batam, Kepulauan Riau 29444, Indonesia",[],,1.1321709,104.0029006,"https://www.google.com/maps/place/Baloi+Centre+blok+D+110,+jl.+Nusa+indah/data=!4m7!3m6!1s0x31d98b9b9c32db59:0xb163d3d6a6c39e53!8m2!3d1.1321709!4d104.0029006!16s%2Fg%2F11q8sh2lfy!19sChIJWdsynJuL2TERU57DptbTY7E?authuser=0&hl=en&rclk=1",0.0,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,1.13217,104.0029,duplicate_cross_file
72,Caths Beauty House,5.0,108,0,Beauty salon,[],"Permata Baloi Blok B2 No. 11, Baloi Indah, Kec. Lubuk Baja, Kota Batam, Kepulauan Riau 29444, Indonesia","[{ day: 'Monday', hours: '08:00 – 22:00' }, { day: 'Tuesday', hours: '08:00 – 22:00' }, { day: 'Wednesday', hours: '08:00 – 22:00' }, { day: 'Thursday', hours: '08:00 – 22:00' }, { day: 'Friday', hours: '08:00 – 22:00' }, { day: 'Saturday', hours: '08:00 – 22:00' }, { day: 'Sunday', hours: '08:00 – 22:00' }]",+62 812-7008-6027,1.130495,104.0129352,https://www.google.com/maps/place/Caths+Beauty+House/data=!4m7!3m6!1s0x31d989826b676d7d:0x720afc59c76983d8!8m2!3d1.130495!4d104.0129352!16s%2Fg%2F11f677d6xg!19sChIJfW1na4KJ2TER2INpx1n8CnI?authuser=0&hl=en&rclk=1,4.0,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,1.1305,104.01294,duplicate_cross_file
