id,name,rating,review,price_level,category,services,address,open_hours,phone,latitude,longitude,url,cluster,source_category,source_file,source_table,rejection_reason
43,Cindy Cosmetic (Cosmetics store),0.0,0,0,,,"Plaza Batamindo 1st Floor, JL Letjen Suprapto, Batamindo Industrial Park, Kabil, Batam, Kota Batam, Kepulauan Riau 29433, Indonesia",[],+62 770 611222,1.069968,104.02261,https://www.google.com/maps/place/Cindy+Cosmetic/data=!4m7!3m6!1s0x31d98e8ec2f0229b:0xf6078ac4d36506d6!8m2!3d1.069968!4d104.02261!16s%2Fg%2F1pzpnxxnt!19sChIJmyLwwo6O2TER1gZl08SKB_Y?authuser=0&hl=en&rclk=1,0,Retail,Indonesia.Batam.Cosmetics.202410290644.db,places,null_required_column
117,Rohani Rodiarni (Cosmetics store),0.0,0,0,,,"544J+768, Unnamed Road, Batu Besar, Kecamatan Nongsa, Kota Batam, Kepulauan Riau 29465, Indonesia",[],+62 882-7113-9790,1.155661,104.130586,https://www.google.com/maps/place/Rohani+Rodiarni/data=!4m7!3m6!1s0x31d9874f1bf44221:0xccf2547fc2a554a9!8m2!3d1.155661!4d104.130586!16s%2Fg%2F11nfv5l6s_!19sChIJIUL0G0-H2TERqVSlwn9U8sw?authuser=0&hl=en&rclk=1,0,Retail,Indonesia.Batam.Cosmetics.202410290644.db,places,null_required_column
118,Stockist AFC (Health and beauty shop),0.0,0,0,,,"Perum Green Nongsa City, Cluster Bougenville No.40, Batu Besar, Kecamatan Nongsa, Kota Batam, Kepulauan Riau 29465, Indonesia","[{""day"": ""Saturday"", ""hours"": ""08:00 - 20:00""}, {""day"": ""Sunday"", ""hours"": ""08:00 - 20:00""}, {""day"": ""Monday"", ""hours"": ""08:00 - 20:00""}, {""day"": ""Tuesday"", ""hours"": ""08:00 - 20:00""}, {""day"": ""Wednesday"", ""hours"": ""08:00 - 20:00""}, {""day"": ""Thursday"", ""hours"": ""08:00 - 20:00""}, {""day"": ""Friday"", ""hours"": ""08:00 - 20:00""}]",+62 818-0967-3397,1.1565038,104.1160688,https://www.google.com/maps/place/Stockist+AFC/data=!4m7!3m6!1s0x31d989f4e396a6d3:0x96fda4fd02b6d1dc!8m2!3d1.1565038!4d104.1160688!16s%2Fg%2F11smtz3n55!19sChIJ06aW4_SJ2TER3NG2Av2k_ZY?authuser=0&hl=en&rclk=1,0,Retail,Indonesia.Batam.Cosmetics.202410290644.db,places,null_required_column
198,PT Nardia Beauty Care (Beauty supply store),0.0,0,0,,,"Grand Batam Shopping Centre, Jl. Pembangunan Lt.1 No.30-31 Lt.1, Batu Selicin, Kec. Lubuk Baja, Kota Batam, Kepulauan Riau 29444, Indonesia","[{""day"": ""Saturday"", ""hours"": ""10:00 - 22:00""}, {""day"": ""Sunday"", ""hours"": ""10:00 - 22:00""}, {""day"": ""Monday"", ""hours"": ""10:00 - 22:00""}, {""day"": ""Tuesday"", ""hours"": ""10:00 - 22:00""}, {""day"": ""Wednesday"", ""hours"": ""10:00 - 22:00""}, {""day"": ""Thursday"", ""hours"": ""10:00 - 22:00""}, {""day"": ""Friday"", ""hours"": ""10:00 - 22:00""}]",+62 852-6435-2239,1.1321035,104.0103066,https://www.google.com/maps/place/PT+Nardia+Beauty+Care/data=!4m7!3m6!1s0x31d989b76f400653:0xb531e5197e81b0e6!8m2!3d1.1321035!4d104.0103066!16s%2Fg%2F11kpk7m_f5!19sChIJUwZAb7eJ2TER5rCBfhnlMbU?authuser=0&hl=en&rclk=1,0,Retail,Indonesia.Batam.Cosmetics.202410290644.db,places,null_required_column
246,Mua Bengkong Batam ( kristin_kalitmakeup) (Make-up artist),0.0,0,0,,,"Bengkong palapa swadaya Blk. E No.8, Tj. Sengkuang, Kec. Batu Ampar, Kota Batam, Kepulauan Riau 29432, Indonesia","[{""day"": ""Saturday"", ""hours"": ""00:00 - 23:59""}, {""day"": ""Sunday"", ""hours"": ""00:00 - 23:59""}, {""day"": ""Monday"", ""hours"": ""00:00 - 23:59""}, {""day"": ""Tuesday"", ""hours"": ""00:00 - 23:59""}, {""day"": ""Wednesday"", ""hours"": ""00:00 - 23:59""}, {""day"": ""Thursday"", ""hours"": ""00:00 - 23:59""}, {""day"": ""Friday"", ""hours"": ""00:00 - 23:59""}]",+62 813-6364-2148,1.1690192,104.0164352,https://www.google.com/maps/place/Mua+Bengkong+Batam+%28@kristin_kalitmakeup%29/data=!4m7!3m6!1s0x31d989b91149b6b9:0x4bf916af375dc9f0!8m2!3d1.1690192!4d104.0164352!16s%2Fg%2F11v64qpmtd!19sChIJubZJEbmJ2TER8MldN68W-Us?authuser=0&hl=en&rclk=1,0,Retail,Indonesia.Batam.Cosmetics.202410290644.db,places,null_required_column
300,Minimal Wangi Eau De Parfume (Cosmetics store),0.0,0,0,,,"Kios, Jl. Golden City Residence Jl. Golden Prawn No.46 blok B, Tanjung Buntung, Bengkong, Batam City, Riau Islands 29444, Indonesia",[],,1.1606714,104.0406967,https://www.google.com/maps/place/Minimal+Wangi+Eau+De+Parfume/data=!4m7!3m6!1s0x31d989004bb87fc7:0x8f67710e60c85d3a!8m2!3d1.1606714!4d104.0406967!16s%2Fg%2F11vywwcdkx!19sChIJx3-4SwCJ2TEROl3IYA5xZ48?authuser=0&hl=en&rclk=1,0,Retail,Indonesia.Batam.Cosmetics.202410290644.db,places,null_required_column
318,seven h f (Beauty salon),0.0,0,0,,,,[],+62 819-1102-0445,0.837166,104.053115,https://www.google.com/maps/place/seven.h.f/data=!4m7!3m6!1s0xaccce034b23a4d8f:0x1314802a535b4a67!8m2!3d0.837166!4d104.053115!16s%2Fg%2F11vpqh78qy!19sChIJj006sjTgzKwRZ0pbUyqAFBM?authuser=0&hl=en&rclk=1,0,Retail,Indonesia.Batam.Cosmetics.202410290644.db,places,null_required_column
319,PT  Distribusindo Cemerlang Jaya (Cosmetics wholesaler),0.0,0,0,,,,"[{""day"": ""Saturday"", ""hours"": ""08:00 - 13:00""}, {""day"": ""Sunday"", ""hours"": ""Closed""}, {""day"": ""Monday"", ""hours"": ""08:00 - 17:00""}, {""day"": ""Tuesday"", ""hours"": ""08:00 - 17:00""}, {""day"": ""Wednesday"", ""hours"": ""08:00 - 17:00""}, {""day"": ""Thursday"", ""hours"": ""08:00 - 17:00""}, {""day"": ""Friday"", ""hours"": ""08:00 - 17:00""}]",+62 821-7133-8370,0.837166,104.053115,https://www.google.com/maps/place/PT.+Distribusindo+Cemerlang+Jaya/data=!4m7!3m6!1s0x2686531489e3b8b3:0xe79b964013ebe9f8!8m2!3d0.837166!4d104.053115!16s%2Fg%2F11v_5dgm5p!19sChIJs7jjiRRThiYR-OnrE0CWm-c?authuser=0&hl=en&rclk=1,0,Retail,Indonesia.Batam.Cosmetics.202410290644.db,places,null_required_column
357,CAHAYA MENTARI SALON (Beauty salon),0.0,0,0,,,"Blk. D Jl. Dapur 12 No.41, Sungai Pelunggut, Kec. Sagulung, Kota Batam, Kepulauan Riau 29425, Indonesia",[],,1.0332538,103.9587578,"https://www.google.com/maps/place/CAHAYA+MENTARI+SALON/@1.0332538,103.9587578,17z/data=!3m1!4b1!4m6!3m5!1s0x31d98d78e846f5f1:0x830bb557067de4df!8m2!3d1.0332538!4d103.9587578!16s%2Fg%2F11y4vslvvq?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTAyOS4wIKXMDSoASAFQAw%3D%3D",0,Retail,Indonesia.Batam.Cosmetics.202410290644.db,places,null_required_column
361,AdzaSalon Hair&Beauty (Beauty salon),0.0,0,0,,,"Jl. Dapur 12, Sungai Pelunggut, Kec. Sagulung, Kota Batam, Kepulauan Riau 29425, Indonesia","[{""day"": ""Saturday"", ""hours"": ""08:00 - 22:00""}, {""day"": ""Sunday"", ""hours"": ""08:00 - 22:00""}, {""day"": ""Monday"", ""hours"": ""08:00 - 22:00""}, {""day"": ""Tuesday"", ""hours"": ""08:00 - 22:00""}, {""day"": ""Wednesday"", ""hours"": ""08:00 - 22:00""}, {""day"": ""Thursday"", ""hours"": ""08:00 - 22:00""}, {""day"": ""Friday"", ""hours"": ""08:00 - 22:00""}]",+62 812-7622-4930,1.0294668,103.9588788,https://www.google.com/maps/place/AdzaSalon+Hair%26Beauty/data=!4m7!3m6!1s0x31d98d7fa6ea9e37:0x55ba9be17d28ad73!8m2!3d1.0294668!4d103.9588788!16s%2Fg%2F11j30ytbcd!19sChIJN57qpn-N2TERc60ofeGbulU?authuser=0&hl=en&rclk=1,0,Retail,Indonesia.Batam.Cosmetics.202410290644.db,places,null_required_column
