feature,mean_abs_shap
nearby_avg_rating_500m,0.1512951172746328
cluster_centroid_distance_m,0.06971346717327422
nearest_business_distance_m,0.03305398371317901
nearby_review_count_log_mean_500m,0.029820040543842553
business_density_250m,0.002559929628270135
nearby_review_count_log_sum_500m,0.0018523741322959701
nearest_cluster_size,0.001635283954755777
competitor_saturation_index,0.0016327186968292597
same_category_density_1000m,0.0016136269120074164
same_category_density_500m,0.0013327523467170027
road_density_500m,0.0012840465360499976
business_density_1000m,0.0011853255876660513
nearest_same_category_distance_m,0.0011202133672515106
distance_to_water_body_m,0.0009405499644191649
nearest_road_distance_m,0.0007810123682872869
road_access_score,0.000695888386686881
business_density_500m,0.0006041204377718872
distance_to_forest_or_green_area_m,0.0005363504359017509
poi_diversity_index,0.00041388829529771576
is_valid_land,0.00038147634165065325
is_noise_area,0.000379175277662226
intersection_density_500m,0.0003428200772242305
population_density,0.00030791477940506025
same_category_density_250m,0.00012930338471818634
commercial_land_ratio_500m,0.0
residential_land_ratio_500m,0.0
