id,name,category,source_category,source_file,source_table,latitude,longitude,x_utm,y_utm,cluster_id,dist_to_cluster_centroid_m,competitor_density_500m,competitor_density_1km,same_category_density_500m,nearest_neighbor_dist_m,rating,review_log,price_level
1333,Kavling sei lekop,housing development,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.0245507,103.947855,382934.57686088514,113262.97833214983,-1,0.0,1,1,0,446.5231124140226,5.0,2.3978952727983707,0
1336,Sei lekop,housing society,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.0284147,103.9466862,382804.6579480211,113690.18316124253,-1,0.0,1,1,0,446.5231124140226,3.6,2.1972245773362196,0
2394,Tiban Makmur Residence Tahap 2,housing complex,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1275992,103.9720389,385629.49691130954,124653.94505831676,-1,0.0,1,1,1,227.1439624582843,4.3,3.6109179126442243,0
2397,Komp Tiban Makmur Tahap 1,housing complex,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1261703,103.970572,385466.21678046003,124496.04009148222,-1,0.0,1,1,1,227.1439624582843,4.4,3.5553480614894135,0
2427,Penginapan Sari Makmur,hotel,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1447768,104.017907,390733.9217257446,126551.11212292164,-1,0.0,4,5,1,141.4040508762712,4.0,1.0986122886681098,0
2442,PT  Graha Seraya Pratama,hotel,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.102427,103.965854,384940.31519577163,121871.4378190902,-1,0.0,0,0,0,1024.137093543402,5.0,1.0986122886681098,0
3983,Adhirama kost,hotel,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1518914,104.0311444,392207.10217618814,127337.10441731985,-1,0.0,0,0,0,1611.2288390785416,3.9,2.5649493574615367,0
4024,Hotel Utama,temporarily closed,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1412933,104.0052422,389324.581654343,126166.50653205763,-1,0.0,0,1,0,735.4059388207385,4.2,6.610696044717759,0
4048,Pondok Hiu KASPB,hotel,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1062999,103.974215,385870.81306989474,122299.25845045797,-1,0.0,1,2,0,433.68057205760164,4.3,3.4011973816621555,0
4349,Airy Komplek Batam Sentosa Raya Ali Haji Batam,temporarily closed,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1527886,104.0106986,389932.1535435002,127437.06883390518,-1,0.0,1,3,0,442.6694901657788,3.6,2.302585092994046,0
4803,B'Kost Pelita,guest house,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1416256,104.0204692,391018.8970975558,126202.65972737796,-1,0.0,4,4,0,19.954710336560794,5.0,0.6931471805599453,0
4806,Wisata Hotel,hotel,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1436837,104.018567,390807.3181474995,126430.24827027,-1,0.0,4,5,1,141.4040508762712,4.3,4.394449154672439,0
4808,Kampung Pelita (Lubuk Baja),indonesia,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1422386,104.0202948,390999.5148118777,126270.4314920817,-1,0.0,4,4,0,65.33435708826518,0.0,0.0,0
4814,Kost Pelita,lodge,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.103382,104.08035,397680.4084539525,121972.82841874467,-1,0.0,0,0,0,1694.9631918575383,4.6,2.1972245773362196,0
4856,Villa Panbil,housing complex,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.0908078,104.0260507,391638.0861804402,120584.71712241381,-1,0.0,1,2,0,133.82700766423216,4.4,5.680172609017068,0
4858,Clubhouse  Villa Panbil,cafe,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.0898055,104.0267252,391713.10271542706,120473.89209158174,-1,0.0,1,2,0,133.82700766423216,4.4,5.7899601708972535,0
4859,Villa Panbil Forest House Blok DD no 26,housing complex,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.0818292,104.0263046,391666.01809313946,119592.15514176394,-1,0.0,0,2,0,882.99321080627,5.0,1.6094379124341003,0
4928,Putri hijau,grocery store,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.0282902,103.9806473,386583.6910068977,113675.19297949954,-1,0.0,0,0,0,1679.850590742724,5.0,1.0986122886681098,0
4934,ZEN Rooms Near Ferry Terminal Batam Centre,permanently closed,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.124678,104.0485307,394140.6544508746,124328.12510157168,-1,0.0,1,4,0,139.22125736129672,4.1,2.8903717578961645,0
5324,Bukit indah sukajadi,housing society,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1127053,104.0206955,391043.0023190168,123005.60687273671,-1,0.0,0,1,0,769.2095832599564,4.4,2.9444389791664403,0
5325,Bukit Indah Sukajadi (Kantor Bukit Indah Sukajadi),real estate developer,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1039265,104.0262698,391662.9377388221,122034.93577100254,-1,0.0,1,2,0,143.4373029226801,4.4,4.859812404361672,0
5327,Bukit Indah Sukajadi Mosque (Masjid Bukit Indah Sukajadi),mosque,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1055531,104.0305536,392139.6571498942,122214.59476734068,-1,0.0,1,4,0,387.2351264158912,4.8,7.261927092702751,0
5330,Graha Nusa Permai A9 07,housing complex,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1153007,104.089933,398747.1019628755,123290.0471476479,-1,0.0,0,0,0,1694.9631918575383,4.5,1.0986122886681098,0
5331,Perumahan Graha Nusa Batam,housing complex,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.0400653,103.9711051,385522.3042096131,114977.25137825462,-1,0.0,0,0,0,1679.850590742724,4.5,4.574710978503383,0
5335,Ikan bakar greenland,seafood restaurant,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.123507,104.0489912,394191.85171388136,124198.65928074674,-1,0.0,1,3,0,139.22125736129672,4.3,4.962844630259907,0
5341,Grand Park Hotel,permanently closed,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1521271,104.0067749,389495.5405257032,127364.09383672208,-1,0.0,2,3,0,442.6694901657788,3.6,2.1972245773362196,0
5625,Imperium Superblok,corporate office,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1178998,104.0252951,391554.991784548,123579.67147725787,-1,0.0,0,1,0,769.2095832599564,4.2,3.6109179126442243,0
5627,Windsor Square Hotel,hotel,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1477996,104.0066198,389478.116158972,126885.70681761175,-1,0.0,1,4,0,478.7042391803675,4.2,3.091042453358316,0
5740,Pelita III,lodging,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.1416476,104.0202912,390999.09197607863,126205.098503278,-1,0.0,4,4,0,19.954710336560794,5.0,1.6094379124341003,0
5760,Perumahan Permata Laguna Batam,apartment complex,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.0570325,103.941115,382185.7802373525,116854.06909400872,-1,0.0,2,2,0,132.6215252652561,4.3,3.784189633918261,0
5761,Perumahan permata laguna,housing development,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,1.0562859,103.9420479,382289.56081447913,116771.49754458072,-1,0.0,2,2,0,132.6215252652561,4.0,0.6931471805599453,0
