id,name,rating,review,price_level,category,services,address,open_hours,phone,latitude,longitude,url,cluster,source_category,source_file,source_table,rejection_reason
49,RedDoorz Premium   Permata Baloi Green,3.9,10,0,,[],"Jl. Permata Baloi B3 No.5, Baloi Indah, Lubuk Baja, Batam City, Riau Islands 29444, Indonesia",[],+62 21 80629666,1.1308848,104.0125593,https://www.google.com/maps/place/RedDoorz+Premium+@+Permata+Baloi+Green/data=!4m10!3m9!1s0x31d9894219395837:0xd651e1973e195b83!5m2!4m1!1i2!8m2!3d1.1308848!4d104.0125593!16s%2Fg%2F11j2yq9jvn!19sChIJN1g5GUKJ2TERg1sZPpfhUdY?authuser=0&hl=en&rclk=1,0.0,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,null_required_column
85,Apartemen Permata Residenses,5.0,4,0,,[],"Jl. Permata Baloi, Baloi Indah, Kec. Lubuk Baja, Kota Batam, Kepulauan Riau, Indonesia",[],+62 896-8728-5063,1.127807,104.0091695,https://www.google.com/maps/place/Apartemen+Permata+Residenses/data=!4m10!3m9!1s0x31d989003d70029f:0x5322fbb52dde06f1!5m2!4m1!1i2!8m2!3d1.127807!4d104.0091695!16s%2Fg%2F11y6ntkxjv!19sChIJnwJwPQCJ2TER8QbeLbX7IlM?authuser=0&hl=en&rclk=1,0.0,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,null_required_column
150,OYO 90366 Homestay 81 Baloi,3.8,5,0,,[],"Jl. Permata Baloi, Baloi Indah, Kec. Lubuk Baja, Kota Batam, Kepulauan Riau 29444, Indonesia",[],+62 21 29707601,1.1295187,104.0101343,https://www.google.com/maps/place/OYO+90366+Homestay+81+Baloi/data=!4m10!3m9!1s0x31d989473c1cfb6d:0x3440ff4f62696656!5m2!4m1!1i2!8m2!3d1.1295187!4d104.0101343!16s%2Fg%2F11j3083_3p!19sChIJbfscPEeJ2TERVmZpYk__QDQ?authuser=0&hl=en&rclk=1,0.0,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,null_required_column
336,OYO 91305 Merah Putih Inn,5.0,1,0,,[],"1 Sungai Jodoh, Near Jodoh Center RM Sederhana Jodoh, MC Donald's, Jl. Nagoya Hill, Kepulauan Riau 29444, Indonesia",[],+62 21 29707601,1.1497216,104.0059012,https://www.google.com/maps/place/OYO+91305+Merah+Putih+Inn/data=!4m10!3m9!1s0x31d98ba948c0f875:0x42108d3221eaf0d0!5m2!4m1!1i2!8m2!3d1.1497216!4d104.0059012!16s%2Fg%2F11tgdhx5zb!19sChIJdfjASKmL2TER0PDqITKNEEI?authuser=0&hl=en&rclk=1,0.0,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,null_required_column
379,SPOT ON 91422 Ringin Pitu 2 Syariah,1.0,1,0,,[],"mall, Jl. Nagoya Hill No.9, Sungai Jodoh, Kec. Batu Ampar, Kota Batam, Kepulauan Riau 29432, Indonesia",[],+62 21 29707601,1.1497836,104.0062351,https://www.google.com/maps/place/SPOT+ON+91422+Ringin+Pitu+2+Syariah/data=!4m10!3m9!1s0x31d98bd088ce9179:0xcd7e629f0b17a19a!5m2!4m1!1i2!8m2!3d1.1497836!4d104.0062351!16s%2Fg%2F11kbl0c2bc!19sChIJeZHOiNCL2TERmqEXC59ifs0?authuser=0&hl=en&rclk=1,0.0,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,null_required_column
452,OYO Life 2959 Tachi Stay Guest House 2,3.0,2,0,,[],"no 0 Perumahan Bengkong YKB Blok E No. 22, Bengkong Laut, Kota Batam, Kepulauan Riau 29458, Indonesia",[],+62 21 29707601,1.1594334,104.0350444,https://www.google.com/maps/place/OYO+Life+2959+Tachi+Stay+Guest+House+2/data=!4m10!3m9!1s0x31d989c6660815d7:0xdf9957fab5dd8cf4!5m2!4m1!1i2!8m2!3d1.1594334!4d104.0350444!16s%2Fg%2F11nnlt3sh0!19sChIJ1xUIZsaJ2TER9IzdtfpXmd8?authuser=0&hl=en&rclk=1,0.0,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,null_required_column
510,OYO 91253 Hotel Andi,4.1,49,0,,[],"Jl. Bengkong Harapan 1, Bengkong Laut, Kec. Bengkong, Kota Batam, Kepulauan Riau 29457, Indonesia",[],+62 21 29707601,1.1503985,104.0247629,https://www.google.com/maps/place/OYO+91253+Hotel+Andi/data=!4m10!3m9!1s0x31d98996d5cd3869:0xbc67fa11e89e3e25!5m2!4m1!1i2!8m2!3d1.1503985!4d104.0247629!16s%2Fg%2F11b7q7t135!19sChIJaTjN1ZaJ2TERJT6e6BH6Z7w?authuser=0&hl=en&rclk=1,0.0,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,null_required_column
600,SPOT ON 92715 Joyoakis 2 Homestay Syariah,0.0,0,0,,[],"05 Rumah Sakit Budi Kemuliaan, Jalan Budi Kemuliaan, Baloi, Kampung Seraya, Bat, Batam City, Riau Islands 29444, Indonesia",[],+62 21 29707601,1.1489084,104.0178877,https://www.google.com/maps/place/SPOT+ON+92715+Joyoakis+2+Homestay+Syariah/data=!4m10!3m9!1s0x31d989489506ce41:0x910388246e1e64e0!5m2!4m1!1i2!8m2!3d1.1489084!4d104.0178877!16s%2Fg%2F11krd9llvk!19sChIJQc4GlUiJ2TER4GQebiSIA5E?authuser=0&hl=en&rclk=1,0.0,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,null_required_column
711,Airy Eco Nagoya City Centre 8 Batam,4.3,33,0,,[],"Komp. Nagoya City Centre Blok I No.8, Lubuk Baja Kota, , Kota Batam, Lubuk Baja Kota, Lubuk Baja, Batam City, Riau Islands 29432, Indonesia",[],,1.1455421,104.0066479,https://www.google.com/maps/place/Airy+Eco+Nagoya+City+Centre+8+Batam/data=!4m10!3m9!1s0x31d98a29ce9347a9:0x3382b468884347b!5m2!4m1!1i2!8m2!3d1.1455421!4d104.0066479!16s%2Fg%2F11g6mc65zc!19sChIJqUeTzimK2TERezSEiEYrOAM?authuser=0&hl=en&rclk=1,0.0,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,null_required_column
781,Airy Greenland Ahmad Yani Batam,0.0,0,0,,[],"Komplek Ruko Greenland, Blk. J No.10 - 16, Baloi Permai, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29432, Indonesia",[],+62 804 111 2479,1.1040642,104.0430636,https://www.google.com/maps/place/Airy+Greenland+Ahmad+Yani+Batam/data=!4m10!3m9!1s0x31d9892d9bead1f5:0xa8770b56fa299917!5m2!4m1!1i2!8m2!3d1.1040642!4d104.0430636!16s%2Fg%2F11h0mdq10r!19sChIJ9dHqmy2J2TERF5kp-lYLd6g?authuser=0&hl=en&rclk=1,-1.0,Hospitality,Indonesia.Batam.Hotel.202408042041.db,places,null_required_column
