feature,mean_abs_shap
cluster_centroid_distance_m,0.06769033006996744
nearby_avg_rating_500m,0.01760912541895954
nearby_review_count_log_mean_500m,0.005770446725357582
nearby_review_count_log_sum_500m,0.0033572270672687227
business_density_500m,0.0031955058507584983
poi_diversity_index,0.0022853712024935254
intersection_density_500m,0.0006271732911583425
nearest_same_category_distance_m,0.0004110164203076913
road_density_500m,0.0003341382336015969
population_density,0.00027667102468684695
business_density_1000m,0.00020402976617931112
distance_to_water_body_m,0.00016582174022265793
same_category_density_1000m,0.00013145517435676494
road_access_score,0.00013136608806384948
same_category_density_500m,8.115107477231403e-05
business_density_250m,5.3175908157155046e-05
same_category_density_250m,4.988834970033306e-05
distance_to_forest_or_green_area_m,4.1856647962984375e-05
competitor_saturation_index,3.949500304195906e-05
nearest_business_distance_m,2.9382519708355375e-05
nearest_road_distance_m,2.7516545404091145e-06
is_valid_land,2.3112973830589803e-06
commercial_land_ratio_500m,0.0
residential_land_ratio_500m,0.0
nearest_cluster_size,0.0
is_noise_area,0.0
