id,name,rating,review,price_level,category,services,address,open_hours,phone,latitude,longitude,url,cluster,source_category,source_file,source_table,rejection_reason
310,Kesehatan dan kecantikan,0.0,0,0,,[],"Bengkong indah 2 blok h no 152, Bengkong Indah, Kec. Bengkong, Kota Batam, Kepulauan Riau 29444, Indonesia",[],+62 823-8581-4321,1.1469032,104.0260769,https://www.google.com/maps/place/Kesehatan+dan+kecantikan/data=!4m7!3m6!1s0x31d989bb2d907b3b:0xbd3d0dea4ae58203!8m2!3d1.1469032!4d104.0260769!16s%2Fg%2F11h07psqp5!19sChIJO3uQLbuJ2TERA4LlSuoNPb0?authuser=0&hl=en&rclk=1,5.0,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,null_required_column
902,Puskesmas Pembantu Sei Pelungut,0.0,0,0,,[],"2XJ5+7H5, Jl. Kav Flamboyan, Sungai Pelunggut, Kec. Sagulung, Kota Batam, Kepulauan Riau 29439, Indonesia",[],,1.030626,103.9589819,https://www.google.com/maps/place/Puskesmas+Pembantu+Sei+Pelungut/data=!4m7!3m6!1s0x31d98d7f169f7d49:0x8cb78d6bf9da53c6!8m2!3d1.030626!4d103.9589819!16s%2Fg%2F11byp67y7x!19sChIJSX2fFn-N2TERxlPa-WuNt4w?authuser=0&hl=en&rclk=1,5.0,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,null_required_column
1279,Homestay Rumah Cantik,2.1,8,0,,[],"Tiban bukit Asri blok B no 1-3, Tiban Baru, Kec. Sekupang, Kota Batam, Kepulauan Riau 29424, Indonesia",[],,1.1085775,103.962102,https://www.google.com/maps/place/Homestay+Rumah+Cantik/data=!4m7!3m6!1s0x31d98b81fdaf1c19:0x860faf4c1f9182b0!8m2!3d1.1085775!4d103.962102!16s%2Fg%2F11gc883q4v!19sChIJGRyv_YGL2TERsIKRH0yvD4Y?authuser=0&hl=en&rclk=1,5.0,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,null_required_column
1638,Pelita,4.7,12,0,,[],"42RC+V4V, Kampung Pelita, Lubuk Baja, Batam City, Riau Islands 29444, Indonesia",[],,1.1422386,104.0202948,https://www.google.com/maps/place/Pelita/data=!4m7!3m6!1s0x31d989120e4517b5:0x5a8c566d753f24d8!8m2!3d1.1422386!4d104.0202948!16s%2Fg%2F11h7pscjp7!19sChIJtRdFDhKJ2TER2CQ_dW1WjFo?authuser=0&hl=en&rclk=1,5.0,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,null_required_column
1677,Pelita Medical Centre,3.8,4,0,,[],"Kampung Durian, Blok A No. 1-3, Sungai Panas, Bengkong, Sungai Panas, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29433, Indonesia",[],,1.1377583,104.0330889,https://www.google.com/maps/place/Pelita+Medical+Centre/data=!4m7!3m6!1s0x31d9890a8bc26bd5:0xd632d6a451612a77!8m2!3d1.1377583!4d104.0330889!16s%2Fg%2F11btmq2wjd!19sChIJ1WvCiwqJ2TERdyphUaTWMtY?authuser=0&hl=en&rclk=1,5.0,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,null_required_column
1745,The Hills Hotel Batam,4.1,715,0,,[],"Jl. Teuku Umar No.1, Kp. Seraya, Kec. Lubuk Baja, Kota Batam, Kepulauan Riau 29444, Indonesia",[],+62 812-6882-8585,1.1484868,104.0128208,https://www.google.com/maps/place/The+Hills+Hotel+Batam/data=!4m7!3m6!1s0x31d98ebffdf55535:0x7277fbfdbc2ea8e1!8m2!3d1.1484868!4d104.0128208!16s%2Fg%2F11bc7tj4yt!19sChIJNVX1_b-O2TER4aguvP37d3I?authuser=0&hl=en&rclk=1,5.0,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,null_required_column
1747,Lubuk baja,0.0,0,0,,[],"Jl. Kakak Tua No.18, Batu Selicin, Kec. Lubuk Baja, Kota Batam, Kepulauan Riau 29444, Indonesia",[],,1.1364535,104.0110336,https://www.google.com/maps/place/Lubuk+baja/data=!4m7!3m6!1s0x31d98900141ca6ab:0x539d0c967703685e!8m2!3d1.1364535!4d104.0110336!16s%2Fg%2F11w4thl1rb!19sChIJq6YcFACJ2TERXmgDd5YMnVM?authuser=0&hl=en&rclk=1,5.0,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,null_required_column
1910,Grand Eska Hotel & Suites Batam,4.4,325,0,,[],"Jl. Prambanan No.1, Sungai Jodoh, Kec. Batu Ampar, Kota Batam, Kepulauan Riau 29444, Indonesia",[],+62 811-6915-353,1.1530997,104.0080091,https://www.google.com/maps/place/Grand+Eska+Hotel+%26+Suites+Batam/data=!4m7!3m6!1s0x31d9892294873efb:0xcdee2fcb148cd80e!8m2!3d1.1530997!4d104.0080091!16s%2Fg%2F11hz19p7p6!19sChIJ-z6HlCKJ2TERDtiMFMsv7s0?authuser=0&hl=en&rclk=1,5.0,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,null_required_column
2340,Polindes sei Raya (Medical clinic),0.0,0,0,,,"R5FJ+68R, Jl. Trans Barelang, Sembulang, Galang, Kota Batam, Kepulauan Riau 29481, Indonesia",[object Object],,0.8231058,104.1807707,https://www.google.com/maps/place/Polindes+sei+Raya/data=!4m7!3m6!1s0x31d9a3326b303959:0x445a7681bc7d6e33!8m2!3d0.8231058!4d104.1807707!16s%2Fg%2F11n5d1n9gx!19sChIJWTkwazKj2TERM259vIF2WkQ?authuser=0&hl=en&rclk=1,5.0,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,null_required_column
2356,Puskesmas pembantu (Public medical center),0.0,0,0,,,"3476+MXW, Jl. Bumi Perkemahan, Kabil, Kecamatan Nongsa, Kota Batam, Kepulauan Riau 29433",[object Object],,1.0642287,104.1124494,https://www.google.com/maps/place/Puskesmas+pembantu/data=!4m7!3m6!1s0x31d985d4fa03c6a9:0x63fc2b960c6cb217!8m2!3d1.0642287!4d104.1124494!16s%2Fg%2F11fpfpryn1!19sChIJqcYD-tSF2TERF7JsDJYr_GM?authuser=0&hl=en&rclk=1,-1.0,Healthcare,Indonesia.Batam.Kesehatan.202408050759.db,places,null_required_column
