feature,mean_abs_shap
nearby_avg_rating_500m,0.14816750525371467
nearby_review_count_log_mean_500m,0.02871173120037663
nearby_review_count_log_sum_500m,0.01900675334020096
intersection_density_500m,0.016405168829781568
nearest_business_distance_m,0.01528815399961481
nearest_same_category_distance_m,0.01324574542406104
distance_to_forest_or_green_area_m,0.010948205868116649
nearest_road_distance_m,0.010336294522966073
poi_diversity_index,0.009701836271050741
distance_to_water_body_m,0.008981075820460182
business_density_1000m,0.008571229168254871
cluster_centroid_distance_m,0.00836555244154035
road_density_500m,0.007981521388204772
business_density_500m,0.007120105795180998
road_access_score,0.006382661570114082
business_density_250m,0.006277009861228504
same_category_density_500m,0.005832929114606919
same_category_density_1000m,0.002695400160032609
nearest_cluster_size,0.0019739339473020642
population_density,0.0019493554521349246
same_category_density_250m,0.0010528305143281923
is_noise_area,5.28621185834641e-05
competitor_saturation_index,0.0
is_valid_land,0.0
commercial_land_ratio_500m,0.0
residential_land_ratio_500m,0.0
