feature,mean_abs_shap
nearby_avg_rating_500m,0.10185691
nearby_review_count_log_mean_500m,0.0606784
same_category_density_1000m,0.013196571
nearest_road_distance_m,0.012401987
cluster_centroid_distance_m,0.009306758
nearest_business_distance_m,0.00900377
nearby_review_count_log_sum_500m,0.008207961
business_density_500m,0.0075702285
business_density_1000m,0.006569906
poi_diversity_index,0.006056954
same_category_density_500m,0.0052500074
distance_to_water_body_m,0.005161227
nearest_same_category_distance_m,0.005109656
distance_to_forest_or_green_area_m,0.0040404866
business_density_250m,0.0027603859
intersection_density_500m,0.0026943558
road_density_500m,0.0024669697
population_density,0.002257085
road_access_score,0.0017724914
same_category_density_250m,0.0011212998
is_valid_land,0.0006421882
competitor_saturation_index,0.00031763158
nearest_cluster_size,0.00029770524
commercial_land_ratio_500m,0.0
residential_land_ratio_500m,0.0
is_noise_area,0.0
