id,name,rating,review,price_level,category,services,address,open_hours,phone,latitude,longitude,url,cluster,source_category,source_file,source_table,rejection_reason
2,Pt Baloi 128,5.0,1,0,,[],"Jl. Bunga Raya No.128, Baloi Indah, Kec. Lubuk Baja, Kota Batam, Kepulauan Riau 29432, Indonesia",[],,1.1311342,104.0079393,https://www.google.com/maps/place/Pt+Baloi+128/data=!4m7!3m6!1s0x31d9897d6563793b:0x57ca21afa121a7f1!8m2!3d1.1311342!4d104.0079393!16s%2Fg%2F11fkn0_rlk!19sChIJO3ljZX2J2TER8achoa8hylc?authuser=0&hl=en&rclk=1,2.0,Company,Indonesia.Batam.PT.202408042212.db,places,null_required_column
14,Baloi View Apartment,4.3,396,0,,[],"Jl. Gajah Mada, Baloi Indah, Kec. Lubuk Baja, Kota Batam, Kepulauan Riau 29432, Indonesia",[],,1.122718,104.0078601,https://www.google.com/maps/place/Baloi+View+Apartment/data=!4m10!3m9!1s0x31d9896034b0ad49:0x4f95ce4150204a36!5m2!4m1!1i2!8m2!3d1.122718!4d104.0078601!16s%2Fg%2F1hm3zj63_!19sChIJSa2wNGCJ2TERNkogUEHOlU8?authuser=0&hl=en&rclk=1,2.0,Company,Indonesia.Batam.PT.202408042212.db,places,null_required_column
27,RedDoorz   Baloi Batam,4.3,159,0,,[],"Komplek Pertokoan Wahana 757 No, RT.1/RW.5, Baloi Indah, Kec. Lubuk Baja, Kota Batam, Kepulauan Riau 29444, Indonesia",[],+62 21 80629666,1.1275023,104.0053897,https://www.google.com/maps/place/RedDoorz+@+Baloi+Batam/data=!4m10!3m9!1s0x31d98b120b8037eb:0x705107f72cef1d6a!5m2!4m1!1i2!8m2!3d1.1275023!4d104.0053897!16s%2Fg%2F11gyc05kx7!19sChIJ6zeACxKL2TERah3vLPcHUXA?authuser=0&hl=en&rclk=1,2.0,Company,Indonesia.Batam.PT.202408042212.db,places,null_required_column
33,Permata Baloi Green,4.3,45,0,,[],"Jl. Permata Baloi B3 No.5, Baloi Indah, Lubuk Baja, Batam City, Riau Islands, Indonesia",[],+62 823-9277-3131,1.1311234,104.0127902,https://www.google.com/maps/place/Permata+Baloi+Green/data=!4m10!3m9!1s0x31d98972696298d1:0xe34c6a5be7e97929!5m2!4m1!1i2!8m2!3d1.1311234!4d104.0127902!16s%2Fg%2F11fmrl6sms!19sChIJ0ZhiaXKJ2TERKXnp51tqTOM?authuser=0&hl=en&rclk=1,2.0,Company,Indonesia.Batam.PT.202408042212.db,places,null_required_column
216,Golden View Hotel,4.3,3,0,,[],"Jl. Bengkong Laut, Tj. Buntung, Kec. Bengkong, Kota Batam, Kepulauan Riau 29433, Indonesia",[],,1.1615452,104.0367054,https://www.google.com/maps/place/Golden+View+Hotel/data=!4m7!3m6!1s0x31d98ebffdf55535:0x420dd58b0afc8022!8m2!3d1.1615452!4d104.0367054!16s%2Fg%2F1tr8j1vy!19sChIJNVX1_b-O2TERIoD8CovVDUI?authuser=0&hl=en&rclk=1,4.0,Company,Indonesia.Batam.PT.202408042212.db,places,null_required_column
236,The Golden Bay Hotel,4.2,1,0,,[],"Tanjung Buntung, Bengkong, Batam City, Riau Islands, Indonesia",[],+62 857-8887-7739,1.1629313,104.040122,https://www.google.com/maps/place/The+Golden+Bay+Hotel/data=!4m7!3m6!1s0x31d989c5c6ba51df:0xc65e3d160cf323a0!8m2!3d1.1629313!4d104.040122!16s%2Fg%2F11c1xdclbx!19sChIJ31G6xsWJ2TERoCPzDBY9XsY?authuser=0&hl=en&rclk=1,4.0,Company,Indonesia.Batam.PT.202408042212.db,places,null_required_column
616,Nestle Mineral Water - Pulau Batam,5.0,2,0,,[],"42JH+M2M, Panas River, Batam Kota, Batam City, Riau Islands 29444, Indonesia",[],+62 811-1540-388,1.1317206,104.0275509,https://www.google.com/maps/place/Nestle+Mineral+Water+-+Pulau+Batam/data=!4m7!3m6!1s0x31d989c7b162d985:0x9f96c5452194e567!8m2!3d1.1317206!4d104.0275509!16s%2Fg%2F11vs_w172t!19sChIJhdlisceJ2TERZ-WUIUXFlp8?authuser=0&hl=en&rclk=1,2.0,Company,Indonesia.Batam.PT.202408042212.db,places,null_required_column
618,Sei panas,5.0,2,0,,[],"Purimas2, Blk. B No.5, Sungai Panas, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29431, Indonesia",[],,1.1336827,104.0332552,https://www.google.com/maps/place/Sei+panas/data=!4m7!3m6!1s0x31d989d04f7943d9:0xa692084de35b7b28!8m2!3d1.1336827!4d104.0332552!16s%2Fg%2F11ptwc_6fy!19sChIJ2UN5T9CJ2TERKHtb400IkqY?authuser=0&hl=en&rclk=1,2.0,Company,Indonesia.Batam.PT.202408042212.db,places,null_required_column
652,Batam Lestari  PT,4.0,3,0,,[],"Komplek Union Industrial Park Blok D1 No. 7, JL Yos Sudarso, Tj. Sengkuang, Kec. Batu Ampar, Kota Batam, Kepulauan Riau 29444, Indonesia",[],,1.166187,104.017181,https://www.google.com/maps/place/Batam+Lestari.+PT/data=!4m7!3m6!1s0x31d989f07264593f:0xbfdb03730d4e3ca2!8m2!3d1.166187!4d104.017181!16s%2Fg%2F11bc7s1cby!19sChIJP1lkcvCJ2TERojxODXMD278?authuser=0&hl=en&rclk=1,4.0,Company,Indonesia.Batam.PT.202408042212.db,places,null_required_column
689,Vin Jaya Utama  PT,4.7,3,0,,[],"Jl. Kerapu No.15, Tj. Sengkuang, Kec. Batu Ampar, Kota Batam, Kepulauan Riau 29452, Indonesia",[],,1.1661245,104.0124684,https://www.google.com/maps/place/Vin+Jaya+Utama.+PT/data=!4m7!3m6!1s0x31d989f9afa4f6a7:0x74ecdb6b39fe1364!8m2!3d1.1661245!4d104.0124684!16s%2Fg%2F11bc7nwwk9!19sChIJp_akr_mJ2TERZBP-OWvb7HQ?authuser=0&hl=en&rclk=1,4.0,Company,Indonesia.Batam.PT.202408042212.db,places,null_required_column
