feature,mean_abs_shap
nearby_avg_rating_500m,0.1304723589692418
nearby_review_count_log_mean_500m,0.03542116354723525
cluster_centroid_distance_m,0.015188849068598468
nearby_review_count_log_sum_500m,0.010242411819918931
nearest_business_distance_m,0.008820096257948544
same_category_density_1000m,0.006529796819633551
competitor_saturation_index,0.005261407809860789
is_noise_area,0.00524141374841609
same_category_density_500m,0.004393905612961726
same_category_density_250m,0.002711183442930187
nearest_road_distance_m,0.0024836519745878127
nearest_same_category_distance_m,0.0022928867289445857
poi_diversity_index,0.0019160833518947521
business_density_250m,0.0016676453147156866
business_density_1000m,0.0015460483406429344
business_density_500m,0.0013191654882097298
nearest_cluster_size,0.0011635190068192637
intersection_density_500m,0.0010010953642697303
road_density_500m,0.000893504744206273
road_access_score,0.0008817016607741083
distance_to_water_body_m,0.0007947481029354415
population_density,0.0006693796010118403
distance_to_forest_or_green_area_m,0.0006101605012210932
is_valid_land,0.00015052534113113347
commercial_land_ratio_500m,0.0
residential_land_ratio_500m,0.0
