id,name,rating,review,price_level,category,services,address,open_hours,phone,latitude,longitude,url,cluster,source_category,source_file,source_table,rejection_reason
210,batu merah batam,5.0,1,0,,[],"52M9+XX6, Batu Merah, Batu Ampar, Batam City, Riau Islands, Indonesia",[],,1.1849134,104.0198888,https://www.google.com/maps/place/batu+merah+batam/data=!4m7!3m6!1s0x31da272e8b31a575:0x513836d75f8692f4!8m2!3d1.1849134!4d104.0198888!16s%2Fg%2F11q2rxjc8h!19sChIJdaUxiy4n2jER9JKGX9c2OFE?authuser=0&hl=en&rclk=1,3.0,Education,Indonesia.Batam.School.202408060757.db,places,null_required_column
355,Yayasan Pendidikan HKI Bengkong Indah,0.0,0,0,,[],"Jalan Bengkong Indah Atas Blok B, Bengkong Indah, Kec. Bengkong, Kota Batam, Kepulauan Riau 29444, Indonesia",[],,1.1446194,104.0256561,https://www.google.com/maps/place/Yayasan+Pendidikan+HKI+Bengkong+Indah/data=!4m7!3m6!1s0x31d989997b2f8925:0x7ac563041867dc09!8m2!3d1.1446194!4d104.0256561!16s%2Fg%2F11b7z_xl5k!19sChIJJYkve5mJ2TERCdxnGARjxXo?authuser=0&hl=en&rclk=1,3.0,Education,Indonesia.Batam.School.202408060757.db,places,null_required_column
895,jj,0.0,0,0,,[],"2XH5+F8F, Pelunggut River, Sagulung, Batam City, Riau Islands 29425, Indonesia",[],,1.0286992,103.9582931,https://www.google.com/maps/place/jj/data=!4m7!3m6!1s0x31d98d03d066174f:0x11c9aea63ed39fb1!8m2!3d1.0286992!4d103.9582931!16s%2Fg%2F11q2t8prlj!19sChIJTxdm0AON2TERsZ_TPqauyRE?authuser=0&hl=en&rclk=1,5.0,Education,Indonesia.Batam.School.202408060757.db,places,null_required_column
938,Nestle Mineral Water - Pulau Batam,5.0,2,0,,[],"42JH+M2M, Panas River, Batam Kota, Batam City, Riau Islands 29444, Indonesia",[],+62 811-1540-388,1.1317206,104.0275509,https://www.google.com/maps/place/Nestle+Mineral+Water+-+Pulau+Batam/data=!4m7!3m6!1s0x31d989c7b162d985:0x9f96c5452194e567!8m2!3d1.1317206!4d104.0275509!16s%2Fg%2F11vs_w172t!19sChIJhdlisceJ2TERZ-WUIUXFlp8?authuser=0&hl=en&rclk=1,3.0,Education,Indonesia.Batam.School.202408060757.db,places,null_required_column
944,Sei panas,5.0,2,0,,[],"Purimas2, Blk. B No.5, Sungai Panas, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29431, Indonesia",[],,1.1336827,104.0332552,https://www.google.com/maps/place/Sei+panas/data=!4m7!3m6!1s0x31d989d04f7943d9:0xa692084de35b7b28!8m2!3d1.1336827!4d104.0332552!16s%2Fg%2F11ptwc_6fy!19sChIJ2UN5T9CJ2TERKHtb400IkqY?authuser=0&hl=en&rclk=1,3.0,Education,Indonesia.Batam.School.202408060757.db,places,null_required_column
1031,SD Negeri 06 Tanjung Uma,3.0,1,0,,[],"Jl. Tj. Uma No.3, Tj. Uma, Kec. Lubuk Baja, Kota Batam, Kepulauan Riau 29444, Indonesia",[],,1.1395146,103.9997926,https://www.google.com/maps/place/SD+Negeri+06+Tanjung+Uma/data=!4m7!3m6!1s0x31d98a2cc654f9a5:0xd69149dff379dcf7!8m2!3d1.1395146!4d103.9997926!16s%2Fg%2F1pzsrwgm2!19sChIJpflUxiyK2TER99x5899JkdY?authuser=0&hl=en&rclk=1,3.0,Education,Indonesia.Batam.School.202408060757.db,places,null_required_column
1283,Sekolah Kasih Karunia,3.3,13,0,,[],"4X39+33J, Jl. Gajah Mada, Tiban Baru, Kec. Sekupang, Kota Batam, Kepulauan Riau 29424, Indonesia",[],,1.1027246,103.9676352,https://www.google.com/maps/place/Sekolah+Kasih+Karunia/data=!4m7!3m6!1s0x31d98b874408a7b7:0x3dcdb03b9355c5b7!8m2!3d1.1027246!4d103.9676352!16s%2Fg%2F11b7wc8yr2!19sChIJt6cIRIeL2TERt8VVkzuwzT0?authuser=0&hl=en&rclk=1,-1.0,Education,Indonesia.Batam.School.202408060757.db,places,null_required_column
1376,SD Negeri 08,0.0,0,0,,[],"Komplek Taman Jaya Asri Blok B No. 1, Tanjung Uncang, Sekupang, Sungai Harapan, Kec. Sekupang, Kota Batam, Kepulauan Riau 29425, Indonesia",[],,1.1092377,103.9549233,https://www.google.com/maps/place/SD+Negeri+08/data=!4m7!3m6!1s0x31d98b7a28543943:0x293a7653a12dd79d!8m2!3d1.1092377!4d103.9549233!16s%2Fg%2F11bc7pcc90!19sChIJQzlUKHqL2TERndctoVN2Oik?authuser=0&hl=en&rclk=1,-1.0,Education,Indonesia.Batam.School.202408060757.db,places,null_required_column
1677,Belakang UNRIKA,5.0,1,0,,[],"2XX8+MGQ, Bukit Tempayan, Batu Aji, Batam City, Riau Islands 29425, Indonesia",[],,1.0492105,103.9663544,https://www.google.com/maps/place/Belakang+UNRIKA/data=!4m7!3m6!1s0x31d98da162c57313:0xa8880762192cc2b7!8m2!3d1.0492105!4d103.9663544!16s%2Fg%2F11c2mw88hf!19sChIJE3PFYqGN2TERt8IsGWIHiKg?authuser=0&hl=en&rclk=1,5.0,Education,Indonesia.Batam.School.202408060757.db,places,null_required_column
2207,SMP N 23 BATAM - PULAU NGENANG,5.0,1,0,,[],"25CJ+4P9, Ngenang, Nongsa, Batam City, Riau Islands 29468, Indonesia",[],,1.0202996,104.1818661,https://www.google.com/maps/place/SMP+N+23+BATAM+-+PULAU+NGENANG/data=!4m7!3m6!1s0x31d99b9db2fcb4ef:0xc5f1cfbc0093d9cf!8m2!3d1.0202996!4d104.1818661!16s%2Fg%2F11ql5kc5hb!19sChIJ77T8sp2b2TERz9mTALzP8cU?authuser=0&hl=en&rclk=1,-1.0,Education,Indonesia.Batam.School.202408060757.db,places,null_required_column
