feature,mean_abs_shap
nearby_avg_rating_500m,0.14471944807281445
nearby_review_count_log_mean_500m,0.0547128379574365
nearest_same_category_distance_m,0.009420320421500558
nearest_business_distance_m,0.008523427310218164
nearest_road_distance_m,0.005112647755460458
distance_to_water_body_m,0.00304096845037977
intersection_density_500m,0.0028836296579327824
distance_to_forest_or_green_area_m,0.0028768885428525214
poi_diversity_index,0.002513981976458293
same_category_density_1000m,0.0024515299821142667
cluster_centroid_distance_m,0.002272921482746081
business_density_1000m,0.002104247342227568
nearby_review_count_log_sum_500m,0.0016769638333237798
business_density_500m,0.0015136016000270557
road_density_500m,0.0011389901927063737
road_access_score,0.0011277529258788342
nearest_cluster_size,0.0010577684936894317
business_density_250m,0.0009551877159290589
population_density,0.0007033072102038678
competitor_saturation_index,0.0005221546064688254
same_category_density_500m,0.0005150535948696014
same_category_density_250m,0.00025956196555236723
is_noise_area,0.0001086571252329054
is_valid_land,7.393798154211956e-05
commercial_land_ratio_500m,0.0
residential_land_ratio_500m,0.0
