id,name,rating,review,price_level,category,services,address,open_hours,phone,latitude,longitude,url,cluster,source_category,source_file,source_table,rejection_reason
958,Toko Sinar Indah Jaya,0.0,0,0,,[],"Pancur Swadaya Blok D No 29-32, Tj. Piayu, Kec. Sei Beduk, Kota Batam, Kepulauan Riau 29433, Indonesia",[],,1.0209223,104.0704447,https://www.google.com/maps/place/Toko+Sinar+Indah+Jaya/data=!4m7!3m6!1s0x31d9914f14a791dd:0xcdbf46b7d008abf9!8m2!3d1.0209223!4d104.0704447!16s%2Fg%2F11hds72vw_!19sChIJ3ZGnFE-R2TER-asI0LdGv80?authuser=0&hl=en&rclk=1,0.0,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,null_required_column
996,Toko Bangunan JM,4.1,8,0,,[],"2XP4+C8W, Lekop River, Sagulung, Batam City, Riau Islands 29425, Indonesia",[],,1.0361125,103.9558231,https://www.google.com/maps/place/Toko+Bangunan+JM/data=!4m7!3m6!1s0x31d98d79e7fd2665:0x972b868414b73cfb!8m2!3d1.0361125!4d103.9558231!16s%2Fg%2F11cn6zwyj6!19sChIJZSb953mN2TER-zy3FISGK5c?authuser=0&hl=en&rclk=1,-1.0,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,null_required_column
1698,TOKO BANGUNAN MATERIAL BARU,5.0,1,0,,[],"TIBAN KOPERASI BLOK U NO 3, Kota Batam, Kepulauan Riau 29425, Indonesia",[],+62 812-1202-1180,1.0692238,103.955007,https://www.google.com/maps/place/TOKO+BANGUNAN+MATERIAL+BARU/data=!4m7!3m6!1s0x31d98d199fa4503b:0x4f599b3e00aa5fe1!8m2!3d1.0692238!4d103.955007!16s%2Fg%2F11q8rlkp6k!19sChIJO1CknxmN2TER4V-qAD6bWU8?authuser=0&hl=en&rclk=1,5.0,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,null_required_column
2964,Pancur Indah (Building materials store),0.0,0,0,,,"23G7+4HC, Jalan Sai Pancur, Duriangkang, Kec. Sei Beduk, Kota Batam, Kepulauan Riau 29444, Indonesia",[object Object],+62 812-6603-4038,1.0253064,104.0638883,https://www.google.com/maps/place/Pancur+Indah/data=!4m7!3m6!1s0x31d99028388fb669:0x4ec4837bfa8ca05f!8m2!3d1.0253064!4d104.0638883!16s%2Fg%2F11bcf0gl5m!19sChIJabaPOCiQ2TERX6CM-nuDxE4?authuser=0&hl=en&rclk=1,0.0,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,null_required_column
2969,Toko Berkah Agung (Building materials store),0.0,0,0,,,"Gg. Peranjak No.76, Mangsang, Kec. Sei Beduk, Kota Batam, Kepulauan Riau 29433, Indonesia",[object Object],+62 852-2199-4847,1.032368,104.0517281,"https://www.google.com/maps/place/Toko+Berkah+Agung/@1.032368,104.0517281,17z/data=!3m1!4b1!4m6!3m5!1s0x31d98e2c910c8ea3:0xdef97377407b878b!8m2!3d1.032368!4d104.0517281!16s%2Fg%2F11bc7qxpzs?authuser=0&hl=en&entry=ttu",5.0,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,null_required_column
2970,Kaca lestari (Building materials store),0.0,0,0,,,"23G7+88Q, Jl. Sei Pancur, Duriangkang, Kec. Sei Beduk, Kota Batam, Kepulauan Riau 29444, Indonesia",[object Object],,1.025857,104.063357,https://www.google.com/maps/place/Kaca+lestari/data=!4m7!3m6!1s0x31d991001a068651:0x29920a126f065b46!8m2!3d1.025857!4d104.063357!16s%2Fg%2F11y3kdq4b2!19sChIJUYYGGgCR2TERRlsGbxIKkik?authuser=0&hl=en&rclk=1,1.0,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,null_required_column
2974,Jibril (Perorangan)  UD (Building materials store),0.0,0,0,,,"Gg. Neptunus No.32, Mangsang, Kec. Sei Beduk, Kota Batam, Kepulauan Riau 29433, Indonesia",[object Object],+62 813-6461-0937,1.0322835,104.0488835,https://www.google.com/maps/place/Jibril+%28Perorangan%29.+UD/data=!4m7!3m6!1s0x31d98e2c11971ea9:0xd5d5f293a0afc5c4!8m2!3d1.0322835!4d104.0488835!16s%2Fg%2F1pzrc3453!19sChIJqR6XESyO2TERxMWvoJPy1dU?authuser=0&hl=en&rclk=1,0.0,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,null_required_column
2979,TB Indosatu Tanjung Piayu Batam (Building materials store),0.0,0,0,,,"Kabil, Nongsa, Batam City, Riau Islands, Indonesia",[object Object],+62 813-7678-2009,1.0378629,104.0709347,https://www.google.com/maps/place/TB+Indosatu+Tanjung+Piayu+Batam/data=!4m7!3m6!1s0x31d98ffae43d5789:0x8d49aa5afe428eda!8m2!3d1.0378629!4d104.0709347!16s%2Fg%2F11t__6l5y5!19sChIJiVc95PqP2TER2o5C_lqqSY0?authuser=0&hl=en&rclk=1,-1.0,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,null_required_column
2992,Toko Bersatu Jaya (Building materials store),0.0,0,0,,,"43J3+25M, Teluk Tering, Batam Kota, Batam City, Riau Islands, Indonesia",[object Object],,1.1300781,104.0529221,https://www.google.com/maps/place/Toko+Bersatu+Jaya/data=!4m7!3m6!1s0x31d9890076c24821:0x18f6751c8e4298e6!8m2!3d1.1300781!4d104.0529221!16s%2Fg%2F11vyxpq31r!19sChIJIUjCdgCJ2TER5phCjhx19hg?authuser=0&hl=en&rclk=1,0.0,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,null_required_column
3000,PT Citra Mestika Andalas (Citra Mestika Andalas  PT),0.0,0,0,,,"Kampung Seraya, Batu Ampar, Batam City, Riau Islands 29444, Indonesia",[object Object],+62 778 450930,1.1503206,104.0136367,https://www.google.com/maps/place/PT+Citra+Mestika+Andalas/data=!4m7!3m6!1s0x31d9898f28303381:0x2ed0ba6d33cb6c1b!8m2!3d1.1503206!4d104.0136367!16s%2Fg%2F1pzsg9j_g!19sChIJgTMwKI-J2TERG2zLM2260C4?authuser=0&hl=en&rclk=1,0.0,Retail,Indonesia.Batam.Toko Bangunan.202408021219.db,places,null_required_column
