id,name,rating,review,price_level,category,services,address,open_hours,phone,latitude,longitude,url,cluster,source_category,source_file,source_table,rejection_reason
240,Rere Computer (Computer store),0.0,0,0,,,"Komp. Muka Kuning Indah II, Jalan Letjen Soeprapto Nlok B2, No. 5, Buliang, Kec. Batu Aji, Kota Batam, Kepulauan Riau 29432, Indonesia","[{""day"": ""Friday"", ""hours"": ""09:00 - 18:00""}, {""day"": ""Saturday"", ""hours"": ""09:00 - 18:00""}, {""day"": ""Sunday"", ""hours"": ""Closed""}, {""day"": ""Monday"", ""hours"": ""09:00 - 18:00""}, {""day"": ""Tuesday"", ""hours"": ""09:00 - 18:00""}, {""day"": ""Wednesday"", ""hours"": ""09:00 - 18:00""}, {""day"": ""Thursday"", ""hours"": ""09:00 - 18:00""}]",+62 823-8774-7805,1.0471014,103.9688311,https://www.google.com/maps/place/Rere+Computer/data=!4m7!3m6!1s0x31d98da242ad59ad:0x4fedf5c767c9273a!8m2!3d1.0471014!4d103.9688311!16s%2Fg%2F11bc70_x6g!19sChIJrVmtQqKN2TEROifJZ8f17U8?authuser=0&hl=en&rclk=1,0,Retail,Indonesia.Batam.Toko Komputer.202410170720.db,places,null_required_column
368,Diamond Computer (Computer store),0.0,0,0,,,"Komp, Jl. Permata Baloi No.F3/12A, Baloi Indah, Kec. Lubuk Baja, Kota Batam, Kepulauan Riau 29432, Indonesia",[],+62 851-5615-5565,1.1281065,104.0081261,https://www.google.com/maps/place/Diamond+Computer/data=!4m7!3m6!1s0x31d9892c1a22c423:0x5964b8cfebc119d5!8m2!3d1.1281065!4d104.0081261!16s%2Fg%2F11vb1gcmjs!19sChIJI8QiGiyJ2TER1RnB68-4ZFk?authuser=0&hl=en&rclk=1,0,Retail,Indonesia.Batam.Toko Komputer.202410170720.db,places,null_required_column
417,TOKO PERMATA COMP (Computer store),0.0,0,0,,,"Ruko permata hijau batu aji blok cno 9, Bukit Tempayan, Kota Batam, Kepulauan Riau 29438, Indonesia","[{""day"": ""Friday"", ""hours"": ""10:15 - 20:40""}, {""day"": ""Saturday"", ""hours"": ""10:15 - 20:40""}, {""day"": ""Sunday"", ""hours"": ""10:15 - 20:40""}, {""day"": ""Monday"", ""hours"": ""10:15 - 20:40""}, {""day"": ""Tuesday"", ""hours"": ""10:15 - 20:40""}, {""day"": ""Wednesday"", ""hours"": ""10:15 - 20:40""}, {""day"": ""Thursday"", ""hours"": ""10:15 - 20:40""}]",+62 819-9266-5464,1.0533058,103.9573981,"https://www.google.com/maps/place/TOKO+PERMATA+COMP/@1.0533058,103.9573981,17z/data=!3m1!4b1!4m6!3m5!1s0x31d98d169fd665e5:0x2b84b105e041707c!8m2!3d1.0533058!4d103.9573981!16s%2Fg%2F11jt298y1n?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI0MTAxNS4wIKXMDSoASAFQAw%3D%3D",0,Retail,Indonesia.Batam.Toko Komputer.202410170720.db,places,null_required_column
447,Jorell's (Computer store),0.0,0,0,,,"Perum Aviari, Jalan Pulau Benua No.101, Buliang, Kec. Batu Aji, Kota Batam, Kepulauan Riau 29444, Indonesia","[{""day"": ""Friday"", ""hours"": ""09:00 - 18:30""}, {""day"": ""Saturday"", ""hours"": ""09:00 - 18:30""}, {""day"": ""Sunday"", ""hours"": ""Closed""}, {""day"": ""Monday"", ""hours"": ""09:00 - 18:30""}, {""day"": ""Tuesday"", ""hours"": ""09:00 - 18:30""}, {""day"": ""Wednesday"", ""hours"": ""09:00 - 18:30""}, {""day"": ""Thursday"", ""hours"": ""09:00 - 18:30""}]",+62 852-6466-5636,1.0530706,103.9707046,https://www.google.com/maps/place/Jorell%27s/data=!4m7!3m6!1s0x31d98da51e9370ed:0x929922faf419e3ae!8m2!3d1.0530706!4d103.9707046!16s%2Fg%2F11b7xnwlv5!19sChIJ7XCTHqWN2TERruMZ9PoimZI?authuser=0&hl=en&rclk=1,0,Retail,Indonesia.Batam.Toko Komputer.202410170720.db,places,null_required_column
454,Kreasi Computer (Computer store),0.0,0,0,,,"Komplek Citra Pandawa Asri, Jalan Letjen Soeprapto Blok B1 No.1, Buliang, Kec. Batu Aji, Kota Batam, Kepulauan Riau 29422, Indonesia",[],+62 812-7700-4252,1.0469948,103.9724037,https://www.google.com/maps/place/Kreasi+Computer/data=!4m7!3m6!1s0x31d98dbd4c90620d:0xf03852b6df538747!8m2!3d1.0469948!4d103.9724037!16s%2Fg%2F11bc7t6m70!19sChIJDWKQTL2N2TERR4dT37ZSOPA?authuser=0&hl=en&rclk=1,0,Retail,Indonesia.Batam.Toko Komputer.202410170720.db,places,null_required_column
534,PT  Benteng Multi Indotama (Computer accessories store),0.0,0,0,,,"Mega Mall Batam Centre, Jl. Engku Putri No.1, Belian, Kota Batam, Kepulauan Riau 29461, Indonesia",[],+62 811-1877-915,1.1270056,104.0569646,https://www.google.com/maps/place/PT.+Benteng+Multi+Indotama/data=!4m7!3m6!1s0x31d988e307341e1d:0x1fddaa01d3b8988!8m2!3d1.1270056!4d104.0569646!16s%2Fg%2F11t6hgdzqr!19sChIJHR40B-OI2TERiIk7HaDa_QE?authuser=0&hl=en&rclk=1,0,Retail,Indonesia.Batam.Toko Komputer.202410170720.db,places,null_required_column
920,Meranti Computer (Computer store),0.0,0,0,,,"Ruko DC Mall No. 12, Sei Jodoh, Baloi Indah, Kec. Lubuk Baja, Kota Batam, Kepulauan Riau 29432, Indonesia","[{""day"": ""Friday"", ""hours"": ""08:00 - 19:00""}, {""day"": ""Saturday"", ""hours"": ""08:00 - 17:00""}, {""day"": ""Sunday"", ""hours"": ""08:00 - 17:00""}, {""day"": ""Monday"", ""hours"": ""08:00 - 19:00""}, {""day"": ""Tuesday"", ""hours"": ""08:00 - 19:00""}, {""day"": ""Wednesday"", ""hours"": ""08:00 - 19:00""}, {""day"": ""Thursday"", ""hours"": ""08:00 - 19:00""}]",+62 852-6558-7928,1.1289408,104.0087609,https://www.google.com/maps/place/Meranti+Computer/data=!4m7!3m6!1s0x31d98935d0e6c403:0x3ef06a1ca483e9f6!8m2!3d1.1289408!4d104.0087609!16s%2Fg%2F11s2nt_709!19sChIJA8Tm0DWJ2TER9umDpBxq8D4?authuser=0&hl=en&rclk=1,0,Retail,Indonesia.Batam.Toko Komputer.202410170720.db,places,null_required_column
1170,Laptop Mart (Electronics store),0.0,0,0,,,"Nagoya Hill Mall SuperBlock LG06 No. 07-08, Lubuk Baja Kota, Kec. Lubuk Baja, Kota Batam, Kepulauan Riau 29444, Indonesia","[{""day"": ""Saturday"", ""hours"": ""10:00 - 21:30""}, {""day"": ""Sunday"", ""hours"": ""10:00 - 21:30""}, {""day"": ""Monday"", ""hours"": ""10:00 - 21:30""}, {""day"": ""Tuesday"", ""hours"": ""10:00 - 21:30""}, {""day"": ""Wednesday"", ""hours"": ""10:00 - 21:30""}, {""day"": ""Thursday"", ""hours"": ""10:00 - 21:30""}, {""day"": ""Friday"", ""hours"": ""10:00 - 21:30""}]",,1.1465972,104.0126341,https://www.google.com/maps/place/Laptop+Mart/data=!4m7!3m6!1s0x31d9891c1729f7eb:0xc9e909de8cc78399!8m2!3d1.1465972!4d104.0126341!16s%2Fg%2F11t_q3r48_!19sChIJ6_cpFxyJ2TERmYPHjN4J6ck?authuser=0&hl=en&rclk=1,0,Retail,Indonesia.Batam.Toko Komputer.202410170720.db,places,null_required_column
1192,Silver Net (Computer store),0.0,0,0,,,"32CF+X3G, Kabil, Nongsa, Batam City, Riau Islands 29433, Indonesia","[{""day"": ""Saturday"", ""hours"": ""09:00 - 16:00""}, {""day"": ""Sunday"", ""hours"": ""Closed""}, {""day"": ""Monday"", ""hours"": ""09:00 - 16:00""}, {""day"": ""Tuesday"", ""hours"": ""09:00 - 16:00""}, {""day"": ""Wednesday"", ""hours"": ""09:00 - 16:00""}, {""day"": ""Thursday"", ""hours"": ""09:00 - 16:00""}, {""day"": ""Friday"", ""hours"": ""09:00 - 16:00""}]",+62 778 371348,1.07244,104.022695,https://www.google.com/maps/place/Silver+Net/data=!4m7!3m6!1s0x31d98e8e388fc4e5:0x23467f72c90f3786!8m2!3d1.07244!4d104.022695!16s%2Fg%2F11bc7skgdy!19sChIJ5cSPOI6O2TERhjcPyXJ_RiM?authuser=0&hl=en&rclk=1,0,Retail,Indonesia.Batam.Toko Komputer.202410170720.db,places,null_required_column
1195,Multiconcept - Idea (Computer store),0.0,0,0,,,"32MJ+45P, Kabil, Nongsa, Batam City, Riau Islands 29433, Indonesia",[],+62 778 7068182,1.0828276,104.0304535,https://www.google.com/maps/place/Multiconcept+-+Idea/data=!4m7!3m6!1s0x31d98ec000000001:0xad97e9c584867397!8m2!3d1.0828276!4d104.0304535!16s%2Fg%2F11bc7l8tn0!19sChIJAQAAAMCO2TERl3OGhMXpl60?authuser=0&hl=en&rclk=1,0,Retail,Indonesia.Batam.Toko Komputer.202410170720.db,places,null_required_column
