feature,mean_abs_shap
nearby_avg_rating_500m,0.1567039691996609
cluster_centroid_distance_m,0.031238315505710493
nearby_review_count_log_mean_500m,0.017771216287437067
nearest_business_distance_m,0.0023139484550190816
nearby_review_count_log_sum_500m,0.001954203992914042
intersection_density_500m,0.001570505111402194
nearest_cluster_size,0.0011256741857457305
nearest_same_category_distance_m,0.0010499599391734105
distance_to_forest_or_green_area_m,0.0009320096940606338
distance_to_water_body_m,0.0009061270496401326
road_density_500m,0.0008632589805723864
poi_diversity_index,0.0005814896158560291
nearest_road_distance_m,0.0005584024947527681
business_density_250m,0.0004565541230344367
business_density_1000m,0.0003325602297264427
population_density,0.00032230597677961834
same_category_density_1000m,0.00030254125162199063
road_access_score,0.00027502132925556256
same_category_density_250m,0.0002124965072639693
competitor_saturation_index,0.00020399375720209188
business_density_500m,0.00019328203645468681
same_category_density_500m,0.0001844136473433626
is_noise_area,2.6257889845180518e-05
is_valid_land,3.977017839283365e-06
commercial_land_ratio_500m,0.0
residential_land_ratio_500m,0.0
